title,averageRating
Чхання Фреда Отта,5.4
Miss Jerry,5.3
Miss Jerry,5.3
Fräulein Jerry,5.3
Miss Jerry,5.3
Miss Jerry,5.3
Вихід робітників із фабрики,6.8
La salida de la fábrica Lumière en Lyon,6.8
Työntekijät poistuvat Lumière-tehtaalta,6.8
Wyjście robotników z fabryki,6.8
Lumière-fabrikens arbetare,6.8
Exiting the Factory,6.8
La sortie de l'usine Lumière,6.8
La sortie de l'usine Lumière à Lyon,6.8
La sortie des usines Lumière,6.8
Радници напуштају фабрику Лимијер,6.8
La salida de los obreros de la fábrica Lumière,6.8
Leaving the Factory,6.8
Salida de obreros de la fábrica Lumiere,6.8
Munkások elhagyják a lyoni Lumiére-gyárat,6.8
La sortie des ouvriers de l'usine Lumière,6.8
L'uscita dalle fabbriche Lumière,6.8
Выход рабочих с фабрики 'Люмьер',6.8
A Saída dos Operários da Fábrica Lumière,6.8
Employees Leaving the Lumière Factory,6.8
Sortie d'usine,6.8
La sortie de l'usine Lumière à Lyon,6.8
La sortie de l'usine Lumière à Lyon,6.8
Arbeiter verlassen die Lumière-Werke,6.8
Workers Leaving the Lumière Factory,6.8
工場の出口,6.8
Akrobatisches Potpourri,5.2
Akrobatisches Potpourri,5.2
Акробатическая смесь,5.2
Juna saapuu asemalle,7.4
Ankunft eines Zuges in La Ciotat,7.4
A vonat érkezése,7.4
Прибытие поезда на вокзал города Ла-Сьота,7.4
Toget kører ind på Le Ciotat,7.4
Bir trenin La Ciotat garına varışı,7.4
The Arrival of a Train,7.4
Train Pulling into a Station,7.4
L'arrivée d'un train à La Ciotat,7.4
L'arrivo di un treno nella stazione di La Ciotat,7.4
The Arrival of a Train,7.4
L'arrivée d'un train en gare de La Ciotat,7.4
Przyjazd pociągu na stację,7.4
The Arrival of a Train,7.4
La llegada de un tren a la estación de La Ciotat,7.4
L'arrivée d'un train à La Ciotat,7.4
ラ・シオタ駅への列車の到着,7.4
Прибуття потяга на вокзал Ла-Сьота,7.4
The Arrival of a Train,7.4
L'arrivo di un treno alla stazione di La Ciotat,7.4
The Arrival of a Train,7.4
The Arrival of the Mail Train,7.4
L'arrivée d'un train à La Ciotat,7.4
Príchod vlaku do stanice La Ciotat,7.4
Долазак воза на станицу,7.4
A Chegada de um Trem à Estação,7.4
Tåget anländer till stationen,7.4
The Arrival of a Train at La Ciotat,7.4
A kongresszus tagjainak partraszállása,5.7
The Photographical Congress Arrives in Lyon,5.7
Arrivée des congressistes à Neuville-sur-Saône,5.7
Прибуття делегатів на фотоконгрес у Ліоні,5.7
Fotografi napuštaju palubu u Lionu,5.7
The Photographical Congress Arrives in Lyon,5.7
El desembarco del congreso de fotografía en Lyon,5.7
Le débarquement du congrès de photographie à Lyon,5.7
Le débarquement du congrès de photographie à Lyon,5.7
Прибытие делегатов на фотоконгресс в Лионе,5.7
Le débarquement des congressistes à Neuville,5.7
The Photographical Congress Arrives in Lyon,5.7
Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,5.7
Przybycie delegatów na kongres fotograficzny w Lyonie,5.7
O Regador Regado,7.1
The Sprayer Sprayed,7.1
L'arroseur arrosé,7.1
L'arroseur arrosé,7.1
Заливена вода,7.1
The Waterer Watered,7.1
Arroseur et arrosé,7.1
Puutarhuri,7.1
Pokropený kropic,7.1
Политий поливальник,7.1
The Sprinkler Sprinkled,7.1
Der begossene Gärtner,7.1
El regador regado,7.1
Trädgårsmästarn,7.1
Le jardinier et le petit espiègle,7.1
Политый поливальщик,7.1
Tables Turned on the Gardener,7.1
Gartneren vandes,7.1
A megöntözött öntöző,7.1
Vattnaren bevattnad,7.1
Le jardinier,7.1
Oblany ogrodnik,7.1
L'innaffiatore annaffiato,7.1
水をかけられた散水夫,7.1
Вoкруг кабинки,6.1
Egy kabin körül,6.1
Around a Bathing Hut,6.1
Autour d'une cabine,6.1
Autour d'une cabine,6.1
Навколо кабінки,6.1
Vene lähtee satamasta,5.9
Boat Leaving the Port,5.9
Båten lämnar hamnet,5.9
Brod napušta luku,5.9
Boat Leaving the Port,5.9
Човен виходить із порту,5.9
Kikötőből távozó bárka,5.9
Barque sortant du port,5.9
Barque sortant du port,5.9
Łódź wypływająca z portu,5.9
La sortie du port,5.9
Лодка выходит из порта,5.9
Boat Leaving the Port,5.9
Italienischer Bauerntanz,4.6
Bauerntanz zweier Kinder,4.6
Італійський селянський танець,4.6
Italienischer Bauerntanz,4.6
Итальянский крестьянский танец,4.6
Das boxende Känguruh,5.2
Cangurul boxer,5.2
Das boxende Känguruh,5.2
Бокс с кенгуру,5.2
Mr. Delaware and the Boxing Kangaroo,5.2
The Clown Barber,5.1
The Clown Barber,5.1
The Derby 1895,4.8
Дерби 1895,4.8
The Derby 1895,4.8
The Blacksmiths,5.1
Kowale,5.1
Кузнецы,5.1
Los herreros,5.1
Ковалі,5.1
Les forgerons,5.1
Blacksmith Scene,5.1
Les forgerons,5.1
Blacksmiths at Work,5.1
Море,5.7
A Dip in the Sea,5.7
Meri,5.7
La Mer,5.7
Baño en el mar,5.7
Kapiel w morzu,5.7
Hafvet,5.7
Plivanje u moru,5.7
Морське купання,5.7
Sea Bathing,5.7
The Sea,5.7
The Sea,5.7
The Sea,5.7
Meri ihmeellisine kylpykuvauksineen,5.7
Baignade en mer,5.7
Baignade en mer,5.7
Opening of the Kiel Canal,3.9
Eroffnung des Nordostsee Kanals,3.9
Inauguration of the Kiel Canal by Kaiser Wilhelm II,3.9
A Kieli-csatorna megnyitása,3.9
Opening of the Kiel Canal,3.9
The Oxford and Cambridge University Boat Race,3.9
The Oxford and Cambridge University Boat Race,3.9
Et spil kort,5.6
Kortspelet,5.6
Партія в карти,5.6
Ett parti ecarté,5.6
Партия в карты,5.6
Partia kart,5.6
Card Game,5.6
Korttipeli,5.6
Game of Cards,5.6
The Messers. Lumière at Cards,5.6
Kártyaparti,5.6
Ecarté peliä,5.6
Partie d'écarté,5.6
Partie d'écarté,5.6
Площа Кордельє в Ліоні,5.6
Cordeliers' Square in Lyon,5.6
Cordeliers' Square in Lyon,5.6
Place des Cordeliers à Lyon,5.6
Площадь Корделье в Лионе,5.6
Place des Cordeliers à Lyon,5.6
Plaza de los Cordeliers en Lyon,5.6
"Cordeliers Square, Lyons, France",5.6
Cordeliers' Square in Lyon,5.6
A Pesca do Peixe Dourado,5.1
La pêche aux poissons rouges,5.1
La pêche aux poissons rouges,5.1
Виловлювання червоних рибок,5.1
Fishing for Goldfish,5.1
Zabawa z rybka,5.1
Fishing for Goldfish,5.1
Вылaвливание красных рыбок,5.1
Fishing for Goldfish,5.1
Repas de bébé,5.9
Karmienie dziecka,5.9
Repas de bébé,5.9
Repas de bébé,5.9
Baby's Meal,5.9
Le goûter de bébé,5.9
La comida del bebé,5.9
Сніданок немовляти,5.9
Lapsen ateria,5.9
Baby mades,5.9
Baby's Dinner,5.9
A kisbaba reggelije,5.9
La colazione del bimbo,5.9
Вечера за бебу,5.9
Barnets måltid,5.9
Baby's Lunch,5.9
Feeding the Baby,5.9
Le repas de bébé,5.9
La comida del bebé,5.9
Le déjeuner de bébé,5.9
Baby's Meal,5.9
O Almoço do Bebê,5.9
Завтрак младенца,5.9
Baby's Meal,5.9
"Бушующее море, вызвавшее наводнение в Дувре",5.2
Rough Sea at Dover,5.2
A hullámzó tenger Dovernél,5.2
Sea Waves at Dover,5.2
Rough Sea at Dover,5.2
"Бурхливе море, що викликало повінь у Дуврі",5.2
A South-West Storm in Dover,5.2
A South-Wester,5.2
Le saut à la couverture,5.5
Jumping the Blanket,5.5
Sotilaskuva,5.5
Jumping the Blanket,5.5
En soldatscen,5.5
Прыжок на брезент,5.5
Saut à la couverture,5.5
Brimade dans une caserne,5.5
Jumping the Blanket,5.5
Стрибок через брезент,5.5
Le saut à la couverture,5.5
Dans serpentin,5.0
Серпантин,5.0
Serpentinen Tanz,5.0
Die Serpentintänzerin,5.0
Serpentintanz Mlle. Ancion,5.0
Серпантин,5.0
Trick Riding,5.5
Вольтижування,5.5
A Acrobacia,5.5
Horse Trick Riders,5.5
Hyppyjä,5.5
Horse Trick Riders,5.5
Horse Riders,5.5
La voltige,5.5
Вoльтижировка,5.5
Horse Trick Riders,5.5
La voltige,5.5
Arrivée d'un train gare de Vincennes,4.9
Прибытие поезда на станцию в Венсене,4.9
Прибуття поїзда на станцію в Венсені,4.9
Arrivée d'un train gare de Vincennes,4.9
Arrival of a Train at Vincennes Station,4.9
Поливальщик,5.6
L'arroseur,5.6
L'arroseur,5.6
The Sprinkler Sprinkled,5.6
Watering the Flowers,5.6
Awakening of Rip,4.4
Awakening of Rip,4.4
Пробуждение Рипа,4.4
Морское купание,4.5
Sea Bathing,4.5
Baignade en mer,4.5
Baignade en mer,4.5
The Ball Game,4.2
The Ball Game,4.2
Barnet Horse Fair,3.7
Barnet Horse Fair,3.7
Boat Leaving the Harbor at Trouville,4.1
Barque sortant du port de Trouville,4.1
Barque sortant du port de Trouville,4.1
Bitwa na sniezki,6.7
Snowball Fight,6.7
Snowball Fight,6.7
Hógolyócsata,6.7
Bataille de neige,6.7
A Batalha de Neve,6.7
Игра в снежки,6.7
Битва снежками,6.7
Гра в сніжки,6.7
Bataille de boules de neige,6.7
Die Schneeballschlacht,6.7
Seine nehrindeki gemiler,4.2
Bateau-mouche sur la Seine,4.2
Bateau-mouche sur la Seine,4.2
Batteuse à vapeur,3.4
Batteuse à vapeur,3.4
Le bivouac,4.0
Le bivouac,4.0
Les blanchisseuses,4.0
Les blanchisseuses,4.0
Mosónők,4.0
The Washerwomen,4.0
Bois de Boulogne,4.1
Булонский лес,4.1
Bois de Boulogne,4.1
Bois de Boulogne (Porte de Madrid),4.1
Boulevard des Italiens,3.5
Boulevard des Italiens,3.5
Итальянский бульвар,3.5
The Boxing Kangaroo,4.7
Боксирующий кенгуру,4.7
The Boxing Kangaroo,4.7
The Boxing Kangaroo,4.7
"Boxing Match; or, Glove Contest",5.0
"Boxing Match; or, Glove Contest",5.0
Bébé et fillettes,4.1
Bébé et fillettes,4.1
Baby and Young Girls,4.1
The Bohemian Encampment,3.6
Gypsies at Home,3.6
El campamento bohemio,3.6
Campement de bohémiens,3.6
Campement de bohémiens,3.6
Carga de rurales,4.2
Soldats ruraux au Mexique,4.2
Rurales Mexicanos al galope,4.2
Carga de rurales,4.2
Verpflichtung der Landpolizei,4.2
Desfile de rurales al galope el 16 de septiembre,4.2
Ruraux au galop,4.2
A Chegada do Comboio Inaugural à Estação Central do Porto,3.3
A Chegada do Comboio Inaugural à Estação Central do Porto,3.3
A Merry-Go-Round,4.9
Les chevaux de bois,4.9
Les chevaux de bois,4.9
Старьёвщик,3.6
Le chiffonnier,3.6
Le chiffonnier,3.6
Uma Corrida de Touros no Campo Pequeno,3.0
Uma Corrida de Touros no Campo Pequeno,3.0
Cortège de tzar allant à Versailles,4.5
Cortège de tzar allant à Versailles,4.5
The Czar and His Cortege Going to Versailles,4.5
The Czar's Cortege in the Bois de Boulogne,4.2
Cortège de tzar au Bois de Boulogne,4.2
Cortège de tzar au Bois de Boulogne,4.2
Coronation of a Village Maiden,3.3
Couronnement de la rosière,3.3
Couronnement de la rosière,3.3
Dancing Darkies,7.3
Dancing Darkies,7.3
Dancing Girls,4.3
Dancing Girls,4.3
Danse serpentine,6.2
Danse serpentine,6.2
Dessinateur express,3.3
Dessinateur express (M. Thiers),3.3
Dessinateur express,3.3
Dessinateur: Chamberlain,3.0
Dessinateur: Chamberlain,3.0
Dessinateur: Reine Victoria,3.2
Dessinateur: Reine Victoria,3.2
Dessinateur: Von Bismark,3.2
Dessinateur: Von Bismark,3.2
Dix chapeaux en 60 secondes,5.4
Conjurer Making Ten Hats in Sixty Seconds,5.4
Dix chapeaux en 60 secondes,5.4
Unloading the Boat,3.8
Déchargement de bateaux au Havre,3.8
Déchargement de bateaux,3.8
Déchargement de bateaux,3.8
Post No Bills,4.9
Защита,4.9
Colleurs d'affiches,4.9
Απαγορεύεται η αφισοκόλλησις,4.9
Defense Show,4.9
Défense d'afficher,4.9
Défense d'afficher,4.9
Défense d'afficher,4.9
Demolition of a Wall,6.4
Разрушение стены,6.4
Zburzenie muru,6.4
Démolition d'un mur,6.4
En vägg rivs,6.4
Démolition d'un mur,6.4
Зруйнування муру,6.4
Falbontás,6.4
Miten seinä hajotetaan,6.4
Demolition of a Wall,6.4
Demolizione di un muro,6.4
Demolition of a Wall,6.4
Seinän kaataminen,6.4
Demolición de un muro,6.4
Demolition of a Wall,6.4
Demolição de um Muro,6.4
Automobiles Starting a Race,3.3
Départ des automobiles,3.3
Départ des automobiles,3.3
Officers of French Army Leaving Service,3.5
Départ des officiers,3.5
Départ des officiers,3.5
Effets de mer sur les rochers,3.5
Effets de mer sur les rochers,3.5
Sea Breaking on the Rocks,3.5
Children Playing on the Beach,4.6
Enfants jouant sur la plage,4.6
Enfants jouant sur la plage,4.6
Escamotage d'une dame au théâtre Robert Houdin,6.3
The Conjuring,6.3
Escamotage d'une dame chez Robert-Houdin,6.3
Egy hölgy eltűnése,6.3
Исчезновение дамы в театре Робера Удена,6.3
The Vanishing Lady,6.3
Znikająca kobieta,6.3
ロベール＝ウーダン劇場における婦人の雲隠れ,6.3
The Conjuring of a Woman at the House of Robert Houdin,6.3
Escamotage d'une dame au théâtre Robert Houdin,6.3
O Desaparecimento de uma Dama no Teatro Robert Houdin,6.3
Выход Рипа и гнома,4.5
Rip and the Dwarf,4.5
Exit of Rip and the Dwarf,4.5
Exit of Rip and the Dwarf,4.5
"Le fakir, mystère indien",4.5
"Le fakir, mystère indien",4.5
Feira de Gado na Corujeira,3.7
Feira de Gado na Corujeira,3.7
A Feira da Corujeira,3.7
O Mercado da Corujeira,3.7
La gare Saint-Lazare,4.3
La gare Saint-Lazare,4.3
Большие манёвры,4.0
Manoeuvres of the French Army,4.0
Grandes manoeuvres,4.0
Grandes manoeuvres,4.0
Les haleurs de bateaux,4.1
Les haleurs de bateaux,4.1
Towing a Boat on the River,4.1
A Hard Wash,4.8
A Hard Wash,4.8
A Pickaninny's Battle,4.8
Die Indiskreten,4.6
Les indiscrets,4.6
Les indiscrets,4.6
The Peeping Toms,4.6
The Drunkards,4.3
Les ivrognes,4.3
Les ivrognes,4.3
Gardener Burning Weeds,4.7
Jardinier brûlant des herbes,4.7
Jardinier brûlant des herbes,4.7
"Beach and Pier at Trouville, 1st part",4.1
Jetée et plage de Trouville (1er partie),4.1
Jetée et plage de Trouville (1er partie),4.1
Jetée et plage de Trouville (2e partie),4.7
Jetée et plage de Trouville (2e partie),4.7
"Beach and Pier at Trouville, 2nd part",4.7
Jour de marché à Trouville,4.2
Jour de marché à Trouville,4.2
Market Day,4.2
Vonattal Jeruzsálemből,6.2
Départ de Jérusalem en chemin de fer,6.2
Départ de Jérusalem en chemin de fer,6.2
Отъезд из Иерусалима по железной дороге,6.2
Juna lähtee Jerusalemista,6.2
Tåget avgår från Jerusalem,6.2
Leaving Jerusalem by Railway,6.2
Wyjezdzajac z Jerozolimy koleja zelazna,6.2
Breaking Up of the Territorial Army,3.9
Libération des territoriaux,3.9
Libération des territoriaux,3.9
Le manoir du diable,6.7
Замок дьявола,6.7
The Haunted Castle,6.7
Le manoir du diable,6.7
Az ördög kastélya,6.7
The Devil's Castle,6.7
The House of the Devil,6.7
The Manor of the Devil,6.7
Manor of the Devil,6.7
Rezydencja diabła,6.7
O Solar do Diabo,6.7
Уклети замак,6.7
Замок диявола,6.7
The Devil's Manor,6.7
悪魔の館,6.7
La mansión del diablo,6.7
The Haunted Castle,6.7
Marée montante sur Brise-Larmes,4.5
Tide Rising Over the Breakwater,4.5
Marée montante sur Brise-Larmes,4.5
Мельбурн,4.7
Melbourne,4.7
Melbourne,4.7
Miss de Vere,4.4
Miss de Vere,4.4
Miss de Vere (gigue anglaise),4.4
Le papier protée,4.8
The Mysterious Paper,4.8
Le papier protée,4.8
Place Saint-Augustin,4.1
Place Saint-Augustin,4.1
"Place de l'Opéra, First View",4.9
"Place de l'Opéra, 1er aspect",4.9
"Place de l'Opéra, 1er aspect",4.9
"Place de l'Opéra, Second View",5.2
"Place de l'Opéra, 2e aspect",5.2
"Place de l'Opéra, 2e aspect",5.2
Place de la Bastille,4.6
Place de la Bastille,4.6
Площадь Бастилии,4.6
Place de la Concorde,4.9
Place de la Concorde,4.9
A párizsi Concorde tér,4.9
Площадь Согласия,4.9
Place du théâtre français,4.5
Place du théâtre français,4.5
The Beach at Villiers in a Gale,4.7
Plage de Villiers par gros temps,4.7
Plage de Villiers par gros temps,4.7
Plus fort que le maître,5.4
Plus fort que le maître,5.4
Smarter than the Teacher,5.4
Bomberos en Lyon,5.6
Pompiers à Lyon,5.6
Passage des pompes,5.6
"Paris: les pompiers, I. Passage des pompes",5.6
Pompiers à Lyon,5.6
Les quais à Marseille,5.0
The Docks at Marseilles,5.0
Les quais à Marseille,5.0
Retour au cantonnement,4.4
Retour au cantonnement,4.4
Revue navale à Cherbourg,5.2
Revue navale à Cherbourg,5.2
Naval Review at Cherburg,5.2
Rip Leaving Sleepy Hollow,4.4
Рип покидает Сонную лощину,4.4
Rip Leaving Sleepy Hollow,4.4
Rip Meeting the Dwarf,4.5
Rip Meeting the Dwarf,4.5
Рип встречает гнома,4.5
Rip Passing Over the Mountain,4.4
Rip Passing Over Hill,4.4
Rip Passing Over the Mountain,4.4
Рип переходит через холм,4.4
Rip's Toast,4.4
Rip's Toast,4.4
Тост Рипа,4.4
Тост Ріпа за Хадсона,4.5
Rip's Toast to Hudson and Crew,4.5
Rip's Toast to Hudson,4.5
Тост Рипа за Хадсона,4.5
Rip's Toast to Hudson,4.5
20 лет сна Рипа,4.3
Rip's Twenty Years' Sleep,4.3
Rip's Twenty Years' Sleep,4.3
Rip's Twenty Years' Sleep,4.3
20 років сну Ріпа,4.3
Le régiment,5.1
Le régiment,5.1
French Regiment Going to the Parade,5.1
Réunion d'officiers,4.9
Réunion d'officiers,4.9
French Officers' Meeting,4.9
Sac au dos,5.2
Sac au dos,5.2
Saída do Pessoal Operário da Fábrica Confiança,5.1
Workers Exit from the Confianca Shirt Factory,5.1
Saída do Pessoal Operário da Fábrica Confiança,5.1
Saída do Pessoal Operário da Camisaria Confiança,5.1
Salut malencontreux d'un déserteur,5.0
Salut malencontreux d'un déserteur,5.0
"Sauvetage en rivière, 1er",5.1
"Rescue on the River, Pt. 2",5.1
"Sauvetage en rivière, 1er",5.1
"Sauvetage en rivière, 2e",5.1
"Sauvetage en rivière, 2e",5.1
"Rescue on the River, Pt. 1",5.1
Le piou-piou galant,4.2
Ухаживание солдата,4.2
The Soldier's Courtship,4.2
Vojnikovo udvaranje,4.2
The Soldier's Courtship,4.2
Closing Hours at Vibert's Perfume Factory,5.1
Sortie des ateliers Vibert,5.1
Sortie des ateliers Vibert,5.1
Séance de prestidigitation,5.6
Conjuring,5.6
Séance de prestidigitation,5.6
Tempête sur la jetée du treport,5.2
Tempête sur la jetée du treport,5.2
The Pier at Treport During a Storm,5.2
The Terrible Railway Accident,4.6
The Terrible Railway Accident,4.6
Tom Old Boot,5.8
"Tom Old Boot, nain grotesque",5.8
Nain grotesque,5.8
Les tribulations d'un concierge,4.4
Les tribulations d'un concierge,4.4
Academy for Young Ladies,5.5
Un lycée de jeunes filles,5.5
Un lycée de jeunes filles,5.5
A Little Rascal,6.6
Un petit diable,6.6
Un petit diable,6.6
A Little Devil,6.6
Une altercation au café,5.1
Une altercation au café,5.1
Uma Noite Terrível,5.7
A Terrible Night,5.7
困った一夜,5.7
Une nuit terrible,5.7
Užasna noć,5.7
Ужасная ночь,5.7
Une nuit terrible,5.7
Mia tromeri nichta,5.7
Una noche terrible,5.7
Жахлива ніч,5.7
Przerażająca noc,5.7
Μία τρομερή νύχτα,5.7
Партия в карты,5.1
Card Party,5.1
Une partie de cartes,5.1
Playing Cards,5.1
Une partie de cartes,5.1
Una partida de cartas,5.1
Partia kart,5.1
Card Party,5.1
Card Party,5.1
Card Party,5.1
カード遊び,5.1
Játékkártyák,5.1
La voiture du potier,6.2
La voiture du potier,6.2
The Wandering Negro Minstrels,4.8
The Wandering Negro Minstrels,4.8
"Oh, That Watermelon!",6.3
A Watermelon Feast,6.3
A Watermelon Feast,6.3
Au réfectoire,5.0
Au réfectoire,5.0
To magemeno pandochio,6.4
Заколдованная гостиница,6.4
Το μαγεμένο πανδοχείο,6.4
The Bewitched Inn,6.4
L'auberge ensorcelée,6.4
L'auberge ensorcelée,6.4
Zaczarowana gospoda,6.4
L'aveugle,5.2
L'aveugle,5.2
Купание в реке,4.9
Baignade dans le torrent,4.9
Baignade dans un torrent,4.9
Bathing in a Stream,4.9
Балетная постановка,5.3
Ballet libella,5.3
Ballet libella,5.3
Buffalo Bill and Escort,4.6
Buffalo Bill and Escort,4.6
The Burglars,5.0
Les cambrioleurs,5.0
Грабители,5.0
Les cambrioleurs,5.0
У гипнотизера,5.2
Chez le magnétiseur,5.2
At the Hypnotist's,5.2
At the Hypnotist's,5.2
Chez le magnétiseur,5.2
En classe,3.5
En classe,3.5
Le cocher de fiacre endormi,5.0
Alvó taxisofőr,5.0
Le cocher de fiacre endormi,5.0
The Corbett-Fitzsimmons Fight,5.2
Бой Корбетта и Фитцсиммонса,5.2
The Corbett-Fitzsimmons Fight,5.2
Coucher d'Yvette et Pierreuse,3.3
Le Coucher d'Yvette,3.3
Le Coucher d'Yvette,3.3
Dans les coulisses,4.6
Dans les coulisses,4.6
Behind the Scenes,4.6
Danse fleur de lotus,5.4
Danse fleur de lotus,5.4
Танец цветов лотоса,5.4
Danse fleur de lotus,5.4
Faust és Margit,4.8
Faust and Marguerite,4.8
Faust et Marguerite,4.8
Faust et Marguerite,4.8
Фауст и Маргарита,4.8
L'hallucination de l'alchimiste,6.2
L'hallucination de l'alchimiste,6.2
The Hallucinated Alchemist,6.2
Η παραίσθηση του αλχημιστή,6.2
Галлюцинация алхимика,6.2
The Alchemist's Hallucination,6.2
The Haunted Castle,5.7
Az elvarázsolt kastély,5.7
Το στοιχειωμένο κάστρο,5.7
The Haunted Castle,5.7
Henley Regatta,3.9
Henley Regatta,3.9
Le magnétiseur,5.1
While Under a Hypnotist's Influence,5.1
Le magnétiseur,5.1
The Hypnotist at Work,5.1
L'hôtel empoisonné,3.9
L'hôtel empoisonné,3.9
A Badly Managed Hotel,3.9
A Badly Managed Hotel,3.9
A Badly Managed Hotel,3.9
Idylle,3.9
Idylle,3.9
Idylle interrompue,3.1
Idylle interrompue,3.1
Le cabinet de Méphistophélès,5.1
Le cabinet de Méphistophélès,5.1
The Devil's Laboratory,5.1
Кабинет Мефистофеля,5.1
The Cabinet of Mephistopheles,5.1
The Laboratory of Mephistopheles,5.1
The Last Days of Pompeii,5.2
The Last Days of Pompeii,5.2
Leçon de danse,3.6
Leçon de danse,3.6
Niagara,5.4
Les chutes,5.4
A Niagara-vízesés,5.4
Ніагарський водоспад,5.4
Les chutes,5.4
Niagara Falls,5.4
The Niagara Waterfall,5.4
Niagara-fallet,5.4
Niagaran putoukset,5.4
Le planton du colonel,5.0
Le planton du colonel,5.0
The Fisherman at the Stream,5.0
Le pêcheur dans le torrent,5.0
Le pêcheur dans le torrent,5.0
Рыбак в речке,5.0
Riña en un café,4.7
Ссора в кафе,4.7
Riña en un café,4.7
Salida de los trabajadores de la fábrica España Industrial,3.6
Salida de los trabajadores de la fábrica España Industrial,3.6
Salida de misa de doce del Pilar de Zaragoza,4.1
Salida de misa de doce del Pilar de Zaragoza,4.1
Salida del público de la iglesia parroquial de Santa María de Sans,2.9
Salida del público de la iglesia parroquial de Santa María de Sans,2.9
Slagsmål i gamla Stockholm,3.7
Битва в старом Стокгольме,3.7
Une bataille dans le vieux Stockholm,3.7
Slagsmål i gamla Stockholm,3.7
The Twins' Tea Party,5.1
The Twins' Tea Party,5.1
Чайная вечеринка близнецов,5.1
Une nuit agitée,4.2
Une nuit agitée,4.2
The X-Ray Fiend,6.1
The X-Ray Fiend,6.1
Рентгеновский бес,6.1
The X-Rays,6.1
Battle of Santiago Bay,4.6
Battle of Santiago Bay,4.6
Výstavní párkar a lepic plakátù,4.6
The Exhibition Sausage Seller and the Billposter,4.6
Продавец сосисок и расклейщик афиш,4.6
Výstavní párkar a lepic plakátù,4.6
The Bill Sticker and the Sausage Vendor,4.6
A Boca do Inferno,5.0
Морская пещера возле Лиссабона,5.0
A Sea Cave Near Lisbon,5.0
A Sea Cave Near Lisbon,5.0
A Boca do Inferno em Cascais,5.0
Brittania,4.7
Brittania,4.7
Вор-домушник на крыше,4.6
The Burglar on the Roof,4.6
The Burglar on the Roof,4.6
The Cavalier's Dream,5.2
The Cavalier's Dream,5.2
The Cave of the Demons,4.6
The Cave of the Demons,4.6
La caverne maudite,4.6
Проклятая пещера,4.6
Cenicienta,6.6
Золушка,6.6
Cinderella,6.6
Cinderella,6.6
Cinderella and the Fairy Godmother,6.6
"Пошли скорее, давай!",4.8
"Come Along, Do!",4.8
"Come Along, Do!",4.8
"Viens donc, je t'en prie",4.8
Exhibition,4.8
Bemutató,4.8
Корсиканские братья,5.9
The Corsican Brothers,5.9
The Corsican Brothers,5.9
The Corsican Brothers,5.9
Cripple Creek Bar-Room Scene,4.8
Бар в Криппл-Крике,4.8
Cripple Creek Bar-Room Scene,4.8
Гибель крейсера «Мэн»,4.5
Le cuirassé Maine,4.5
Le cuirassé Maine,4.5
La cène,4.9
La cène,4.9
The Deserter,3.6
The Deserter,3.6
